,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-19-1787-01
0,OR4F5,ENSG00000186092.4,hsa:79501,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
1,OR4F5,ENSG00000186092.4,hsa:79501,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-9.966
2,OR4F29,ENSG00000278566.1,hsa:729759,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
3,OR4F29,ENSG00000278566.1,hsa:729759,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-9.966
4,OR4F16,ENSG00000273547.1,hsa:81399,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
5,OR4F16,ENSG00000273547.1,hsa:81399,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-9.966
6,NOC2L,ENSG00000188976.10,hsa:26155,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.846
7,NOC2L,ENSG00000188976.10,hsa:26155,3009,Genes and Proteins,Protein families: genetic information processing,Ribosome biogenesis,5.846
8,KLHL17,ENSG00000187961.13,hsa:339451,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.7108
9,KLHL17,ENSG00000187961.13,hsa:339451,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,-0.7108
10,HES4,ENSG00000188290.10,hsa:57801,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.317
11,HES4,ENSG00000188290.10,hsa:57801,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.317
12,ISG15,ENSG00000187608.8,hsa:9636,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),9.717
13,ISG15,ENSG00000187608.8,hsa:9636,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,9.717
14,AGRN,ENSG00000188157.13,hsa:375790,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.85
15,AGRN,ENSG00000188157.13,hsa:375790,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,5.85
16,MIR200B,ENSG00000207730.2,hsa:406984,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
17,MIR200B,ENSG00000207730.2,hsa:406984,3100,Genes and Proteins,RNA family,Non-coding RNAs,-9.966
18,MIR200A,ENSG00000207607.2,hsa:406983,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
19,MIR200A,ENSG00000207607.2,hsa:406983,3100,Genes and Proteins,RNA family,Non-coding RNAs,-9.966
20,MIR200A,ENSG00000207607.2,hsa:406983,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-9.966
21,MIR429,ENSG00000198976.1,hsa:554210,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.966
22,MIR429,ENSG00000198976.1,hsa:554210,3100,Genes and Proteins,RNA family,Non-coding RNAs,-9.966
23,TNFRSF18,ENSG00000186891.13,hsa:8784,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.552
24,TNFRSF18,ENSG00000186891.13,hsa:8784,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-1.552
25,TNFRSF18,ENSG00000186891.13,hsa:8784,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-1.552
26,TNFRSF4,ENSG00000186827.10,hsa:7293,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.1345
27,TNFRSF4,ENSG00000186827.10,hsa:7293,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-0.1345
28,TNFRSF4,ENSG00000186827.10,hsa:7293,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-0.1345
29,SDF4,ENSG00000078808.16,hsa:51150,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.153
30,SDF4,ENSG00000078808.16,hsa:51150,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,7.153
31,B3GALT6,ENSG00000176022.4,hsa:126792,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.176
32,B3GALT6,ENSG00000176022.4,hsa:126792,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.176
33,B3GALT6,ENSG00000176022.4,hsa:126792,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,4.176
34,UBE2J2,ENSG00000160087.20,hsa:118424,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.642
35,UBE2J2,ENSG00000160087.20,hsa:118424,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.642
36,UBE2J2,ENSG00000160087.20,hsa:118424,1000,Genes and Proteins,Protein families: metabolism,Enzymes,5.642
37,SCNN1D,ENSG00000162572.19,hsa:6339,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.189
38,SCNN1D,ENSG00000162572.19,hsa:6339,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,2.189
39,ACAP3,ENSG00000131584.18,hsa:116983,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.557
40,ACAP3,ENSG00000131584.18,hsa:116983,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,5.557
41,ACAP3,ENSG00000131584.18,hsa:116983,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.557
42,TAS1R3,ENSG00000169962.4,hsa:83756,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.0014
43,TAS1R3,ENSG00000169962.4,hsa:83756,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,0.0014
44,DVL1,ENSG00000107404.17,hsa:1855,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.559
45,AURKAIP1,ENSG00000175756.13,hsa:54998,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.645
