,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-3C-AAAU-01_BRCA,order
0,KLHL17,ENSG00000187961.13,hsa:339451,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2959,1.7888984901453633
1,KLHL17,ENSG00000187961.13,hsa:339451,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,3.2959,1.7888984901453633
2,HES4,ENSG00000188290.10,hsa:57801,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.1344,2.53311098309208
3,HES4,ENSG00000188290.10,hsa:57801,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,3.1344,2.53311098309208
4,ISG15,ENSG00000187608.8,hsa:9636,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.9437,6.702616052440326
5,ISG15,ENSG00000187608.8,hsa:9636,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.9437,6.702616052440326
6,AGRN,ENSG00000188157.13,hsa:375790,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.6048,5.529677709323284
7,AGRN,ENSG00000188157.13,hsa:375790,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,6.6048,5.529677709323284
8,TNFRSF18,ENSG00000186891.13,hsa:8784,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.4722,2.519483349246439
9,TNFRSF18,ENSG00000186891.13,hsa:8784,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,5.4722,2.519483349246439
10,TNFRSF18,ENSG00000186891.13,hsa:8784,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,5.4722,2.519483349246439
11,TNFRSF4,ENSG00000186827.10,hsa:7293,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0254,1.6673883590750562
12,TNFRSF4,ENSG00000186827.10,hsa:7293,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,2.0254,1.6673883590750562
13,TNFRSF4,ENSG00000186827.10,hsa:7293,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,2.0254,1.6673883590750562
14,SCNN1D,ENSG00000162572.19,hsa:6339,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2684,0.36158927244673117
15,SCNN1D,ENSG00000162572.19,hsa:6339,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,4.2684,0.36158927244673117
16,ACAP3,ENSG00000131584.18,hsa:116983,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.8765,3.554688712213698
17,ACAP3,ENSG00000131584.18,hsa:116983,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.8765,3.554688712213698
18,ACAP3,ENSG00000131584.18,hsa:116983,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,5.8765,3.554688712213698
19,TAS1R3,ENSG00000169962.4,hsa:83756,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.5568,-1.3163426387975403
20,TAS1R3,ENSG00000169962.4,hsa:83756,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,0.5568,-1.3163426387975403
21,ATAD3B,ENSG00000160072.19,hsa:83858,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.4751,2.598555638619923
22,ATAD3B,ENSG00000160072.19,hsa:83858,3029,Genes and Proteins,Protein families: genetic information processing,Mitochondrial biogenesis,4.4751,2.598555638619923
23,MIB2,ENSG00000197530.12,hsa:142678,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9846,3.337692568618402
24,MIB2,ENSG00000197530.12,hsa:142678,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,4.9846,3.337692568618402
25,MIB2,ENSG00000197530.12,hsa:142678,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.9846,3.337692568618402
26,MMP23B,ENSG00000189409.12,hsa:8510,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.8327,0.9802140095589945
27,MMP23B,ENSG00000189409.12,hsa:8510,1000,Genes and Proteins,Protein families: metabolism,Enzymes,0.8327,0.9802140095589945
28,MMP23B,ENSG00000189409.12,hsa:8510,1002,Genes and Proteins,Protein families: metabolism,Peptidases,0.8327,0.9802140095589945
29,SLC35E2B,ENSG00000189339.11,hsa:728661,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.6565,4.652874437587055
30,SLC35E2B,ENSG00000189339.11,hsa:728661,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,6.6565,4.652874437587055
