,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-02-0047-01_NON_BRCA,order
0,KLHL17,ENSG00000187961.13,hsa:339451,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.3225,2.0189338100571566
1,KLHL17,ENSG00000187961.13,hsa:339451,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,1.3225,2.0189338100571566
2,HES4,ENSG00000188290.10,hsa:57801,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.1604,2.825319171136105
3,HES4,ENSG00000188290.10,hsa:57801,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,4.1604,2.825319171136105
4,ISG15,ENSG00000187608.8,hsa:9636,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.8166,6.463685689294704
5,ISG15,ENSG00000187608.8,hsa:9636,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,5.8166,6.463685689294704
6,AGRN,ENSG00000188157.13,hsa:375790,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.3983,5.7664820651596855
7,AGRN,ENSG00000188157.13,hsa:375790,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,6.3983,5.7664820651596855
8,TNFRSF18,ENSG00000186891.13,hsa:8784,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.9942,0.9909742072887314
9,TNFRSF18,ENSG00000186891.13,hsa:8784,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-1.9942,0.9909742072887314
10,TNFRSF18,ENSG00000186891.13,hsa:8784,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-1.9942,0.9909742072887314
11,TNFRSF4,ENSG00000186827.10,hsa:7293,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7493,1.5219712797592735
12,TNFRSF4,ENSG00000186827.10,hsa:7293,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,0.7493,1.5219712797592735
13,TNFRSF4,ENSG00000186827.10,hsa:7293,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,0.7493,1.5219712797592735
14,SCNN1D,ENSG00000162572.19,hsa:6339,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7321,0.6242149920934854
15,SCNN1D,ENSG00000162572.19,hsa:6339,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,0.7321,0.6242149920934854
16,ACAP3,ENSG00000131584.18,hsa:116983,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.7493,3.9509429718598215
17,ACAP3,ENSG00000131584.18,hsa:116983,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,5.7493,3.9509429718598215
18,ACAP3,ENSG00000131584.18,hsa:116983,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,5.7493,3.9509429718598215
19,TAS1R3,ENSG00000169962.4,hsa:83756,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.1779,-1.7163699591663748
20,TAS1R3,ENSG00000169962.4,hsa:83756,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-2.1779,-1.7163699591663748
21,ATAD3B,ENSG00000160072.19,hsa:83858,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.667,3.218793880025429
22,ATAD3B,ENSG00000160072.19,hsa:83858,3029,Genes and Proteins,Protein families: genetic information processing,Mitochondrial biogenesis,2.667,3.218793880025429
23,MIB2,ENSG00000197530.12,hsa:142678,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.5608,4.3915429950410685
24,MIB2,ENSG00000197530.12,hsa:142678,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,4.5608,4.3915429950410685
25,MIB2,ENSG00000197530.12,hsa:142678,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.5608,4.3915429950410685
